FIPS,sh050m,sh100m,sh500m,income,migration,birth,death,education,unemployment,election
1001,0.20641094,0.35084003,0.29131502,0.39731255,0.40728608,0.22681011,-0.2879579,0.6538808,-0.056201078,0.5376126
1003,-0.099280976,-0.6415338,-0.20927942,0.5514864,1.6435244,-0.17432427,-0.3585803,1.0363969,0.05279708,0.811953
1005,0.3592569,0.51623565,0.6667608,-1.290785,-1.3860227,-0.4150049,-0.0054683466,-0.99306357,1.6877694,-0.8660316
1007,1.5820246,1.260516,0.91705805,-0.49412924,-0.0582111,0.18669666,-0.0054683466,-1.0674417,0.65228695,0.7133483
1009,1.5820246,1.260516,0.91705805,-0.17109098,-0.073473305,0.22681011,0.13577643,-0.95056176,0.107296154,1.5318334
1011,1.0470637,0.92972475,0.79190946,-1.1818553,-0.23372643,0.8686251,0.594822,-0.8761836,0.87028325,-2.6351144
1013,1.0470637,0.92972475,0.79190946,-1.0934769,-0.46265945,-0.053983957,0.63013315,-0.5786711,0.9247823,-0.61784804
1015,0.7413718,1.0124226,0.79190946,-0.5957917,-0.27951303,0.14658323,0.6654444,-0.3767876,0.706786,0.2831497
1017,1.2763326,1.3432139,1.0422066,-0.7714545,-0.40924177,-0.053983957,0.80668914,-0.8868091,0.16179523,-0.5747447
1019,1.4291786,1.5086095,1.0422066,-0.6209534,0.42254826,-0.85625273,0.91262275,-0.91868544,-0.11070015,1.1502621
1021,1.1234866,1.1778182,0.91705805,-0.40746996,0.22413965,0.18669666,-0.0054683466,-0.7805546,0.16179523,1.0611314
1023,0.20641094,0.5989335,0.79190946,-1.3058664,-0.85947675,-0.25455114,1.0538676,-0.90805995,1.7967676,-0.6141486
1025,-0.099280976,0.35084003,0.91705805,-1.1988121,-1.0884098,-0.0940974,0.27702123,-0.95056176,3.0502462,-0.70354664
1027,1.0470637,1.3432139,1.0422066,-0.8510029,0.12493533,-0.6155721,0.8773115,-1.2055725,0.37979153,0.8802132
1029,1.4291786,1.5086095,1.1673553,-0.46255994,-0.09636661,-0.37489146,1.0538676,-0.8336818,0.43429062,1.4051644
1031,-0.099280976,-0.39344034,-0.45957664,-0.06020775,0.07151762,0.5076042,-0.2879579,0.19698656,0.37979153,0.764533
1033,0.9706407,1.1778182,0.91705805,-0.22117989,0.09441092,0.02624292,0.73606676,-0.30240947,0.9247823,0.1778326
1035,0.05356498,0.5989335,0.5416122,-1.5350562,-0.9052633,-0.0940974,1.0538676,-1.1524453,1.7422684,-0.8773758
1037,0.51210284,1.0951204,0.79190946,-1.0128345,-0.30240634,-1.4579543,1.1951123,-1.0568162,0.37979153,-0.07972153
1039,0.6649488,0.76432914,0.79190946,-1.1246555,-0.24135752,0.18669666,0.8773115,-0.70617646,0.81578416,1.1191512
1041,1.0470637,1.0951204,0.91705805,-0.93992823,0.40728608,0.06635635,0.55951077,-0.6317983,0.32529247,0.39222676
1043,1.4291786,1.1778182,0.79190946,-0.61415505,0.6133258,0.22681011,0.3476436,-0.8336818,-0.11070015,1.43139
1045,-0.099280976,-0.39344034,-0.5847252,-0.6938597,-0.34056184,0.6680579,-0.39389148,-0.4830421,0.32529247,0.56164867
1047,-0.022858,0.84702694,0.79190946,-1.4780128,-1.492858,0.38726386,1.1598011,-0.6849256,2.178261,-2.2192867
1049,1.3527557,1.3432139,1.0422066,-0.95915115,-0.065842204,0.18669666,0.13577643,-0.93993634,0.48878968,1.1681471
1051,0.6649488,0.6816313,0.5416122,0.4024699,0.21650854,-0.21443771,-0.4292027,0.31386647,-0.27419737,0.61229426
1053,0.8177948,0.84702694,0.79190946,-1.1179353,-0.21846423,0.06635635,1.0185564,-0.93993634,0.76128507,0.116903335
1055,1.0470637,1.1778182,0.91705805,-0.658774,0.033362113,0.06635635,0.98324513,-0.40866396,0.37979153,0.5522275
1057,1.1999097,1.260516,0.91705805,-0.8595203,-0.37871733,-0.57545865,0.9479339,-0.91868544,0.81578416,1.0200421
1059,1.1234866,1.260516,0.91705805,-0.96532434,0.20124634,0.70817137,0.5241996,-0.91868544,0.37979153,0.89595014
1061,1.0470637,0.76432914,0.6667608,-0.9710287,-0.13452211,-0.37489146,1.1598011,-1.1099435,0.32529247,1.2436527
1063,0.9706407,1.0124226,0.79190946,-1.7850319,-0.11925991,-0.2946646,0.48888838,-1.216198,2.5597546,-3.0764494
1065,1.0470637,1.0124226,0.79190946,-1.0956649,-0.97394323,0.46749073,0.55951077,-0.7911801,1.3062758,-1.6688336
1067,0.8177948,0.6816313,0.79190946,-0.62329763,0.14019753,-0.49523178,0.9479339,-0.3767876,0.706786,0.26979804
1069,0.2828339,0.26814222,0.4164636,-0.5073352,-0.18793982,0.38726386,-0.18202433,-0.058024183,0.32529247,0.4719992
1071,1.2763326,1.3432139,1.0422066,-0.6247823,0.01809991,-0.37489146,1.1598011,-0.7805546,0.59778786,0.94560885
1073,0.8177948,0.43353784,0.5416122,0.055207707,-0.19557092,0.62794447,-0.07609074,1.1532768,0.27079338,-1.2735083
1075,1.3527557,1.260516,1.0422066,-0.8630367,0.36149946,-0.21443771,1.7247802,-0.96118724,0.2162943,1.128379
1077,0.58852583,0.6816313,0.91705805,-0.41247103,0.14019753,-0.6155721,0.4535772,0.2501138,0.59778786,0.43423176
1079,1.8877165,1.5913073,1.1673553,-0.49194124,0.27755734,-0.21443771,0.3476436,-1.0461909,0.9247823,0.50167066
1081,-0.7106648,-0.6415338,0.16616641,-0.12920697,0.6438502,0.26692355,-1.6297834,1.3339094,-0.0017019995,-0.29262653
1083,0.8177948,0.5989335,0.5416122,0.21711753,0.8422588,-0.21443771,-0.88824826,0.42012095,-0.0017019995,0.5453812
1085,1.5056015,1.3432139,0.91705805,-1.3590028,-0.7221169,0.18669666,0.5241996,-0.7911801,2.886749,-2.510501
1087,0.20641094,-0.14534688,0.041017797,-1.4629314,-0.6992236,-0.6155721,0.9479339,-0.08990052,1.3062758,-3.147899
1089,-0.17570396,-0.3107425,-0.08413081,0.9213315,0.5980636,0.06635635,-0.7116923,2.1414435,-0.056201078,-0.49348402
1091,-0.48139587,0.10274658,0.6667608,-1.1415341,-0.93578774,0.38726386,0.6654444,-0.65304923,1.0337805,-1.1524066
1093,0.8942177,1.1778182,1.0422066,-1.0171324,-0.12689102,-0.57545865,1.0185564,-0.89743453,0.76128507,1.3665826
1095,1.1234866,1.0951204,0.79190946,-0.56930166,0.24703294,1.1093057,0.4535772,-0.24928224,0.05279708,1.1722755
1097,0.8942177,0.43353784,0.4164636,-0.32581177,-0.11925991,0.7482848,-0.14671312,0.14385933,0.76128507,-0.60066354
1099,0.05356498,0.76432914,0.91705805,-0.9973625,-0.48555276,-0.6155721,0.31233242,-0.7911801,2.069263,-0.5916943
1101,0.43567988,0.26814222,0.4164636,-0.33534506,-0.37108624,0.8686251,-0.4292027,1.1214005,0.2162943,-1.8734167
1103,0.8177948,0.92972475,0.6667608,-0.20000345,-0.24135752,0.14658323,0.20639883,0.01635395,0.16179523,0.63239765
1105,0.43567988,0.6816313,0.5416122,-1.8895857,-0.9052633,0.8686251,0.91262275,-0.6211729,2.777751,-2.4826205
1107,1.1999097,1.0951204,0.91705805,-1.0497956,-1.6302179,-0.0940974,0.73606676,-0.8549327,0.9247823,-0.5534444
1109,-0.32854992,-0.14534688,0.6667608,-1.1119965,-0.19557092,-0.053983957,-0.67638105,0.21823746,0.706786,-0.39644748
1111,1.2763326,1.3432139,1.0422066,-0.7126137,-0.065842204,-0.37489146,1.0185564,-0.70617646,0.2162943,0.641391
1113,0.12998796,-0.14534688,-0.08413081,-0.842798,-1.1113031,1.1895326,-0.040779542,-0.53616935,0.16179523,-1.103184
1115,1.1234866,0.92972475,0.79190946,0.6605723,0.5751703,0.18669666,-0.07609074,-0.53616935,-0.0017019995,1.1378826
1117,0.12998796,0.020048764,0.29131502,1.9386598,0.4912282,-0.0940974,-1.4885385,2.1839452,-0.4921937,0.57862365
1119,-1.1692027,-0.39344034,0.6667608,-1.7651057,-1.3707604,-0.21443771,0.029842848,0.026979398,1.3607749,-2.5964944
1121,1.2763326,1.1778182,0.91705805,-0.69135916,-0.40161064,-0.4150049,0.63013315,-0.7699292,0.76128507,-0.23523325
1123,0.8942177,1.1778182,1.0422066,-0.7215219,0.07151762,-0.0940974,0.84200037,-0.34491128,0.2162943,0.26995882
1125,0.12998796,-0.22804469,0.041017797,-0.14999269,0.39202386,0.307037,-0.88824826,0.93014246,0.2162943,-0.41784093
1127,1.3527557,1.260516,0.91705805,-0.7729392,-0.23372643,0.307037,1.5129131,-1.0568162,1.1972777,1.0952091
1129,1.2763326,1.1778182,1.0422066,-0.92422175,-0.7221169,-0.45511833,1.0891787,-1.1099435,1.8512666,0.31502205
1131,-0.099280976,0.43353784,0.79190946,-1.9681182,-0.32529965,0.06635635,0.4535772,-0.96118724,5.012213,-2.3713737
1133,1.3527557,1.4259117,1.0422066,-0.84068817,0.17835303,-0.65568554,0.84200037,-0.8549327,1.0337805,1.531043
4001,-1.5513176,-1.882001,-0.334428,-1.200453,0.07914872,0.90873855,-0.4998251,-1.0461909,3.4317398,-2.2645519
4003,-1.8570095,-2.791677,-3.7134404,-0.3322194,-0.5618638,0.26692355,-0.07609074,0.15448476,0.54328877,-0.2908748
4005,-2.2391243,-2.9570727,-1.4607655,0.33136088,0.39965495,-0.053983957,-1.7004057,1.4932911,0.43429062,-1.6910934
4007,-1.5513176,-1.7993033,-0.83502245,-0.67635596,0.91856986,-0.21443771,1.6894691,-0.32366037,1.0882795,0.012549588
4009,-0.9399338,-1.1377207,-0.45957664,-0.21008374,-0.67633027,1.3499863,-1.1354266,-0.6636747,0.87028325,0.2547732
4011,-1.0163567,-1.4685119,-0.83502245,0.91484576,-0.05058,1.7511208,-1.206049,-1.0249399,1.3062758,-0.208622
4012,-2.0098555,-2.2127924,-2.3368058,-1.1813083,0.8804143,-0.5353452,0.771378,-0.97181267,0.48878968,0.32299688
4013,-0.32854992,-0.8896272,-2.587103,0.72980595,1.078823,0.5076042,-1.2766714,1.110775,-0.32869646,-0.9293659
4015,-1.3220487,-1.9646989,-1.9613599,-0.5782098,0.8041033,-1.0969334,1.5482242,-0.91868544,0.76128507,0.6263081
4017,-1.1692027,-1.7993033,-0.45957664,-0.9347709,0.20887744,0.948852,-0.67638105,-0.6105475,1.6877694,-0.78241134
4019,-0.48139587,-0.558836,-2.0865085,-0.13741186,0.45307267,-0.13421084,-0.4998251,1.1001496,-0.11070015,-1.4838011
4021,-2.2391243,-0.9723251,-2.7122514,0.25314093,1.8114086,-0.2946646,-1.2766714,-0.27053314,0.2162943,-0.41342464
4023,-0.40497288,0.6816313,0.29131502,-0.8058369,-0.7526413,0.78839827,-1.4885385,-0.058024183,2.6687527,-2.5686212
4025,-1.7041636,-1.3858142,-2.7122514,0.03293729,1.6435244,-1.2975005,0.84200037,0.3882446,-0.16519924,-0.018557955
4027,-0.25212693,-0.39344034,-1.4607655,-0.5004587,0.20887744,1.1895326,-1.2413602,-0.71680194,7.4646716,-0.8626405
